timestamp,date,time,subID,trial,present,searchType,arraySize,response,RT,correct
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,66,1,feature,32,y,1.159,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,67,1,conjunction,32,y,1.406,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,68,0,conjunction,16,n,1.061,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,69,1,feature,4,y,0.600,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,70,1,conjunction,8,n,0.773,0
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,71,0,conjunction,4,n,1.416,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,72,1,conjunction,4,y,0.573,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,73,1,feature,32,y,2.277,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,74,0,feature,4,n,1.047,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,75,1,feature,32,y,1.442,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,76,0,feature,4,n,0.613,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,77,1,feature,16,y,0.607,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,78,1,conjunction,16,y,0.502,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,79,1,feature,32,y,1.054,1
2025-08-17T23:12:55.445,2025-08-17,23:12:55,002,80,1,feature,32,y,1.055,1
